bagId;aansluiting;status;datum
0003100000117667;Warmte;Aanvraag ontvangen;4-5-2023 15:14:55
0007100000000629;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:41
0007100000000629;Warmte;Aanvraag goedgekeurd;18-8-2023 08:33:34
0010100000014095;Warmte;Aanvraag goedgekeurd;19-7-2023 10:33:52
0010100000014095;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:52
0010100000014400;Elektriciteit;Aanvraag goedgekeurd;9-8-2023 09:01:53
0014100010903970;Warmte;Aanvraag goedgekeurd;20-7-2023 10:28:57
0014100010903970;Elektriciteit;Aanvraag goedgekeurd;20-7-2023 10:28:57
0014100010904047;Warmte;Aanvraag goedgekeurd;12-6-2023 16:09:50
0014100010904047;Elektriciteit;Aanvraag goedgekeurd;12-6-2023 16:09:50
0014100010904052;Elektriciteit;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010905758;Warmte;Aanvraag goedgekeurd;15-6-2023 13:59:48
0014100010905758;Elektriciteit;Aanvraag goedgekeurd;15-6-2023 13:59:48
0014100010906493;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:16
0014100010906493;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:16
0014100010906611;Elektriciteit;Aanvraag goedgekeurd;28-7-2023 10:10:57
0014100010906611;Warmte;Aanvraag goedgekeurd;28-7-2023 10:10:57
0014100010906668;Elektriciteit;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010906668;Warmte;Aanvraag goedgekeurd;16-8-2023 11:23:35
0014100010906820;Elektriciteit;Aanvraag goedgekeurd;21-7-2023 10:28:06
0014100010906947;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 13:19:00
0014100010906947;Warmte;Aanvraag goedgekeurd;14-8-2023 13:19:00
0014100010906970;Elektriciteit;Aanvraag goedgekeurd;2-8-2023 12:41:49
0014100010906970;Warmte;Aanvraag goedgekeurd;2-8-2023 12:41:49
0014100010906970;Warmte;Aanvraag goedgekeurd;2-8-2023 13:22:02
